date,y1_pct,y2_pct,y3_pct,y4_pct,y5_pct,y1_log,p1_log,y2_log,p2_log,y3_log,p3_log,y4_log,p4_log,y5_log,p5_log,g2_fwd,r2_hpr_1y,rx2_1y,g3_fwd,r3_hpr_1y,rx3_1y,g4_fwd,r4_hpr_1y,rx4_1y,g5_fwd,r5_hpr_1y,rx5_1y,rx_avg_1y,CP_t,F1,F2,F3,F4,F5,F6,F7,F8,F1_cu
2005-01-31,2.22,2.44,2.65,2.85,3.02,0.0219571673520421,-0.0219571673520421,0.0241070753432331,-0.0482141506864662,0.0261549574768511,-0.0784648724305535,0.0281014301108747,-0.1124057204434991,0.0297529581493478,-0.148764790746739,0.026256983334424,0.0208908550375757,-0.0010663123144663,0.0302507217440873,0.0199298770694172,-0.0020272902826248,0.0339408480129455,0.0208181053390307,-0.0011390620130114,0.0363590703032399,0.0227701225092549,0.0008129551572128,-0.0008549273632224,0.0101336006658083,-0.9880077149167203,-1.4025855992230518,-1.6502022349053935,0.5829211563646207,-1.3758398113876427,0.552555861672188,-0.9121148393169318,0.09920431047294898,-0.9644528647854188
2005-02-28,2.27,2.57,2.8,3.0,3.18,0.0224461888298299,-0.0224461888298299,0.0253753063312283,-0.0507506126624566,0.0276151670329733,-0.0828455010989201,0.0295588022415444,-0.1182352089661777,0.0313048498284125,-0.1565242491420626,0.0283044238326266,0.0226491825515818,0.0002029937217518,0.0320948884364635,0.0227572584021668,0.0003110695723368,0.0353897078672575,0.0249022238910195,0.0024560350611895,0.0382890401758849,0.0289794936927757,0.0065333048629457,0.0023758508045559,0.0100221916213444,0.9206573547387253,0.6801450430274785,0.837763921506706,1.275174933121932,0.6713720645746168,0.014676746145492277,-0.31968439648822733,0.13110279605093583,0.7803583480747214
2005-03-31,2.29,2.55,2.78,2.98,3.16,0.0226417304808245,-0.0226417304808245,0.0251802985302983,-0.0503605970605966,0.0274205955759922,-0.0822617867279766,0.0293646086299039,-0.1174584345196159,0.0311109950250527,-0.1555549751252636,0.027718866579772,0.0200253972645237,-0.0026163332163008,0.03190118966738,0.0171338049814514,-0.005507925499373,0.0351966477916392,0.0162838263147532,-0.0063579041660713,0.0380965406056477,0.0175628134949942,-0.0050789169858303,-0.0048902699668938,0.0094591327281951,0.1851939487680075,-0.3375786221618633,0.17455912329153303,1.334855427223649,0.22521926440323708,-0.23796815179003802,-0.49238496635768264,0.9684088621462105,0.00635155957399993
2005-04-30,2.1,2.27,2.47,2.66,2.85,0.0207825391825284,-0.0207825391825284,0.0224461888298299,-0.0448923776596599,0.0243998868235351,-0.0731996604706053,0.0262523711440657,-0.1050094845762628,0.0281014301108747,-0.1405071505543739,0.0241098384771315,0.0136844505354667,-0.0070980886470616,0.0283072828109453,0.005556563519584,-0.0152259756629443,0.0318098241056574,-0.0008023576694951,-0.0215848968520235,0.0354976659781111,-0.0048205664351869,-0.0256031056177153,-0.0173780166949362,0.007641633302003,0.29604232052615287,-1.0307750733704981,0.010431299435108028,0.4047504963800859,-0.430324144614252,1.0354895020350232,0.08287899529742059,-1.9055273328697109,0.025945461456165945
2005-05-31,2.1,2.21,2.38,2.55,2.72,0.0207825391825284,-0.0207825391825284,0.0218593343528935,-0.043718668705787,0.0235211950413458,-0.0705635851240376,0.0251802985302983,-0.1007211941211933,0.0268366539535597,-0.1341832697677989,0.0229361295232586,0.012220001646416,-0.0085625375361123,0.0268449164182505,0.0035006187064529,-0.0172819204760755,0.0301576089971557,-0.0030627401723035,-0.0238452793548319,0.0334620756466056,-0.0076713873344773,-0.0284539265170057,-0.0195359159710063,0.0064948902484549,0.7168144814363939,0.05871904280787374,0.427422213629297,0.07266533541570637,-0.90825272040308,0.21110811204597676,0.3506756079660097,-0.6265296579663345,0.36831576786634057
2005-06-30,1.98,2.04,2.19,2.38,2.56,0.0196065296389183,-0.0196065296389183,0.0201947072855192,-0.0403894145710385,0.0216636396360263,-0.064990918908079,0.0235211950413458,-0.0940847801653834,0.0252778071842686,-0.126389035921343,0.0207828849321201,0.0071480807912365,-0.0124584488476817,0.0246015043370405,-0.005936409643059,-0.0255429392819774,0.0290938612573044,-0.015489543881733,-0.0350960735206513,0.0323042557559595,-0.0227941030534446,-0.042400632692363,-0.0288745235856684,0.0087634349167377,0.07177555709271806,-1.3983748852133395,0.22020939097813835,0.3519629278759301,0.3756432532195245,-0.3282076776224551,-0.359676887164022,0.3355810653025849,0.0003697683335173493
2005-07-31,2.14,2.27,2.42,2.57,2.71,0.0211742352314065,-0.0211742352314065,0.0224461888298299,-0.0448923776596599,0.0239118200463128,-0.0717354601389386,0.0253753063312283,-0.1015012253249132,0.0267392971896215,-0.1336964859481075,0.0237181424282534,0.0115543180491495,-0.0096199171822569,0.0268430824792786,0.0019666564319348,-0.0192075787994716,0.0297657651859745,-0.0051793008707394,-0.026353536102146,0.0321952606231943,-0.0108597005153849,-0.0320339357467915,-0.0218037419576665,0.0064764117706563,0.08283854471291689,-0.31944271205338953,0.7916907947859566,0.4785062586816957,-1.3843936073400047,-0.3603810995360127,0.41277679257196026,-0.18238702705761975,0.0005684566902576897
2005-08-31,2.14,2.25,2.38,2.52,2.66,0.0211742352314065,-0.0211742352314065,0.0222506089348197,-0.0445012178696394,0.0235211950413458,-0.0705635851240376,0.0248877155077788,-0.0995508620311155,0.0262523711440657,-0.1312618557203285,0.0233269826382328,0.0102930465399024,-0.010881188691504,0.0260623672543981,0.0009879341527095,-0.020186301078697,0.0289872769070779,-0.0053920446546212,-0.0265662798860278,0.0317109936892129,-0.0098206006073488,-0.0309948358387553,-0.022157151373746,0.005964364701881,0.41244893295813084,0.33072520485168094,-0.3298542558371069,0.23994356295840188,-0.566158800338849,-0.3172399934533455,0.04694315896352515,0.22704871761153433,0.0701633882230431
2005-09-30,2.23,2.39,2.53,2.67,2.79,0.0220549907808313,-0.0220549907808313,0.023618865598634,-0.047237731197268,0.0249852526939086,-0.0749557580817258,0.0263497753227819,-0.1053991012911278,0.0275178860367392,-0.1375894301836964,0.0251827404164367,0.0122567623020224,-0.0097982284788088,0.0277180268844577,0.0049938202912346,-0.0170611704895966,0.030443343209402,0.0007458957306222,-0.0213090950502091,0.0321903288925685,-0.0023344453972859,-0.0243894361781172,-0.0181394825491829,0.0071089856390997,-0.4949540726851204,-0.9450368948328317,0.16394809882768735,1.075575705762446,1.2343430500569306,-1.0510924014507812,-0.5812072741005461,0.38935287173688543,-0.12125361811125562
2005-10-31,2.41,2.61,2.79,2.93,3.06,0.0238141780992548,-0.0238141780992548,0.0257652078860264,-0.0515304157720528,0.0275178860367392,-0.0825536581102178,0.0288789595503767,-0.115515838201507,0.0301411569119868,-0.150705784559934,0.0277162376727979,0.0151984865246626,-0.0086156915745922,0.0310232423381649,0.009696944883115,-0.0141172332161398,0.0329621800912892,0.0062307683608528,-0.017583409738402,0.0351899463584269,0.0046066858304453,-0.0192074922688095,-0.0148809566994859,0.0056078618865074,-0.5873749655605262,-0.4885564674030425,0.08555758757855272,0.8497648511342097,-1.372476106603218,0.7004230007381034,-0.02094241588094242,-0.4603181489124127,-0.2026498551725358
