date,y1_pct,y2_pct,y3_pct,y4_pct,y5_pct,y1_log,p1_log,y2_log,p2_log,y3_log,p3_log,y4_log,p4_log,y5_log,p5_log,g2_fwd,r2_hpr_1y,rx2_1y,g3_fwd,r3_hpr_1y,rx3_1y,g4_fwd,r4_hpr_1y,rx4_1y,g5_fwd,r5_hpr_1y,rx5_1y,rx_avg_1y,CP_t
1972-09-30,6.7,6.26,6.92,7.32,7.58,0.06485097231961627,-0.06485097231961627,0.0607187350347058,-0.1214374700694116,0.06691070528262681,-0.20073211584788042,0.07064483956933196,-0.28257935827732783,0.07306457085700523,-0.36532285428502614,0.05658649774979532,0.03196246364180892,-0.03288850867780735,0.07929464577846883,0.01958871947910651,-0.04526225284050976,0.08184724242944741,0.00976837330102176,-0.05508259901859451,0.08274349600769831,0.000844480815090809,-0.06400649150452546,-0.04930996301035927,0.008394023163552165
1972-10-31,7.04,7.68,7.96,8.1,8.19,0.06803241039182698,-0.06803241039182698,0.07399367990832628,-0.14798735981665256,0.07659060216171264,-0.2297718064851379,0.0778865386570712,-0.3115461546282848,0.07871875471139075,-0.3935937735569538,0.07995494942482559,0.06327863188969836,-0.004753778502128617,0.08178444666848533,0.053017585250312055,-0.01501482514151492,0.08177434814314688,0.04449306567532668,-0.023539344716500293,0.08204761892866902,0.03642534364190669,-0.03160706674992028,-0.018728753777516028,0.018470022152054975
1972-11-30,9.09,7.88,7.99,8.16,8.29,0.087003043621574,-0.087003043621574,0.07584931228343783,-0.15169862456687566,0.07686844425657707,-0.23060533276973122,0.07844142630656249,-0.31376570522624997,0.07964262765219667,-0.3982131382609833,0.06469558094530166,0.05466266205528131,-0.032340381566292695,0.07890670820285556,0.047270955718083485,-0.03973208790349052,0.08316037245651875,0.045615021822193735,-0.04138802179938027,0.08444743303473334,0.043240298923429066,-0.04376274469814494,-0.039305808991827104,0.007206140776132371
1972-12-31,6.92,8.07,8.26,8.3,8.34,0.06691070528262681,-0.06691070528262681,0.07760897932698288,-0.15521795865396576,0.07936555538074047,-0.2380966661422214,0.07973496801885352,-0.3189398720754141,0.08010424424166136,-0.4005212212083068,0.08830725337133895,0.05636859461179672,-0.010542110670830093,0.08287870748825565,0.0569532697734475,-0.00995743550917931,0.08084320593319266,0.0546325274107769,-0.012278177871849913,0.08158134913289272,0.048111428322123895,-0.018799276960502917,-0.012894250253090558,0.019734407942667894
1973-01-31,6.42,7.32,7.87,8.16,8.33,0.0622233431801319,-0.0622233431801319,0.07064483956933196,-0.14128967913866392,0.07575661239924632,-0.22726983719773897,0.07844142630656249,-0.31376570522624997,0.08001193796938463,-0.4000596898469232,0.07906633595853202,0.05172323577962097,-0.010500107400510932,0.08598015805907505,0.05014948323877849,-0.012073859941353411,0.086495868028511,0.04863437337401122,-0.013588969806120683,0.08629398462067323,0.04545289946867265,-0.016770443711459256,-0.01323334521486107,0.022659498026432967
1973-02-28,7.05,7.25,7.82,8.1,8.24,0.06812582904760044,-0.06812582904760044,0.069992371820035,-0.13998474364007,0.07529298403543135,-0.22587895210629405,0.0778865386570712,-0.3115461546282848,0.07918079787444125,-0.3959039893722063,0.07185891459246956,0.04077309356912186,-0.02735273547847858,0.08589420846622406,0.03271475641380603,-0.03541107263379441,0.08566720252199073,0.025070210250622615,-0.04305561879697782,0.0843578347439215,0.014663270154906538,-0.0534625588926939,-0.03982049645048617,0.012586394269319552
1973-03-31,6.97,7.82,8.23,8.41,8.48,0.06737823532994819,-0.06737823532994819,0.07529298403543135,-0.1505859680708627,0.07908840631896372,-0.23726521895689115,0.08075014968510907,-0.3230005987404363,0.08139563820399406,-0.40697819101997035,0.0832077327409145,0.054821346086483355,-0.012556889243464833,0.08667925088602846,0.04682668579502314,-0.02055154953492505,0.08573537978354515,0.03761556346570416,-0.029762671864244028,0.08397759227953405,0.024646711445050373,-0.042731523884897815,-0.026400658631882932,0.02027686088798547
1973-04-30,8.33,8.69,8.66,8.69,8.73,0.08001193796938463,-0.08001193796938463,0.08332960758700417,-0.16665921517400833,0.08305355513528566,-0.24916066540585696,0.08332960758700417,-0.33331843034801667,0.08369755902156667,-0.41848779510783335,0.0866472772046237,0.07098546510572587,-0.009026472863658763,0.08250145023184863,0.05817670248741552,-0.021835235481969112,0.08415776494215971,0.047115176058257546,-0.03289676191112709,0.08516936475981668,0.035429307170316005,-0.04458263079906863,-0.027085275263955898,0.021292545446559147
1973-05-31,8.95,9.33,9.41,9.44,9.46,0.08571887540253743,-0.08571887540253743,0.089200645458302,-0.178401290916604,0.08993210750060725,-0.26979632250182173,0.090206267886149,-0.360825071544596,0.09038899972768075,-0.45194499863840376,0.09268241551406657,0.09406014248285305,0.008341267080315615,0.09139503158521772,0.08154099705242526,-0.004177878350112171,0.09102874904277425,0.06808408652800385,-0.017634788874533583,0.09111992709380778,0.05473619434295435,-0.030982681059583086,-0.011113520300978307,0.01800838997196367
1973-06-30,10.61,9.1,9.18,9.35,9.48,0.10084031492607154,-0.10084031492607154,0.08709470685093373,-0.17418941370186747,0.08782771036552027,-0.2634831310965608,0.0893835611346854,-0.3575342445387416,0.09057169818438696,-0.45285849092193475,0.07334909877579593,0.07987973423112615,-0.020960580694945385,0.08929371739469333,0.08069627423813988,-0.020144040687931658,0.09405111344218081,0.07624365510225195,-0.02459665982381959,0.09532424638319315,0.06943654834784918,-0.03140376657822236,-0.024276261946229748,0.007843466796522345
1973-07-31,10.21,10.25,10.12,9.99,9.89,0.09721745071535928,-0.09721745071535928,0.09758032833886404,-0.19516065667772808,0.09640049428631516,-0.2892014828589455,0.095219266580934,-0.380877066323736,0.09430967947074131,-0.47154839735370657,0.0979432059623688,0.10449762178048594,0.007280171065126656,0.0940408261812174,0.1053197354622308,0.008102284746871524,0.09167558346479054,0.0990402277961524,0.0018227770807931198,0.09067133102997055,0.08630967680407314,-0.01090777391128614,0.0015743647453762902,0.011244413391359181
1973-08-31,9.15,9.3,9.35,9.38,9.39,0.08755289700786145,-0.08755289700786145,0.08892620919440149,-0.17785241838880297,0.0893835611346854,-0.26815068340405623,0.0896578719305354,-0.3586314877221416,0.08974929214360816,-0.4487464607180408,0.09029952138094152,0.0853643989536516,-0.002188498054209856,0.09029826501525326,0.08135215488695671,-0.00620074212090474,0.09048080431808536,0.07406489468410532,-0.013488002323756132,0.09011497299589921,0.06241806933306476,-0.02513482767479669,-0.011753017543416854,0.016998858843099925
1973-09-30,9.36,9.48,9.52,9.54,9.55,0.08947500642760267,-0.08947500642760267,0.09057169818438696,-0.1811433963687739,0.09093699499210203,-0.27281098497630607,0.09111959336748383,-0.36447837346993534,0.09121088005338408,-0.4560544002669204,0.09166838994117124,0.08856421507568074,-0.0009107913519219302,0.09166758860753216,0.08619463070900271,-0.0032803757185999594,0.09166738849362926,0.07936612746568045,-0.010108878961922224,0.09157602679698507,0.06791055022054299,-0.021564456207059685,-0.00896612555987595,0.01632121416396286
1973-10-31,8.84,9.24,9.31,9.34,9.36,0.0847087279269542,-0.0847087279269542,0.08837711061741292,-0.17675422123482584,0.08901769631765269,-0.2670530889529581,0.08929210747876178,-0.3571684299150471,0.08947500642760267,-0.44737503213801333,0.09204549330787164,0.08764504616305,0.002936318236095789,0.09029886771813225,0.08317134155624342,-0.0015373863707107832,0.09011534096208901,0.07342050245720372,-0.011288225469750487,0.09020660222296623,0.0595942079120973,-0.02511452001485691,-0.008750953404805598,0.018564137461972708
1973-11-30,10.19,9.6,9.35,9.28,9.31,0.09703596251159435,-0.09703596251159435,0.09166718852582387,-0.18333437705164773,0.0893835611346854,-0.26815068340405623,0.08874320983438856,-0.35497283933755425,0.08901769631765269,-0.4450884815882634,0.08629841454005338,0.09963681803008106,0.002600855518486711,0.0848163063524085,0.09873322755014782,0.0016972650385534693,0.08682215593349801,0.09258901202757092,-0.0044469504840234375,0.09011564225070917,0.08353248267754043,-0.013503479834053922,-0.0034130774402592948,0.011081227721562453
