date,y1_pct,y2_pct,y3_pct,y4_pct,y5_pct,y1_log,p1_log,y2_log,p2_log,y3_log,p3_log,y4_log,p4_log,y5_log,p5_log,g2_fwd,r2_hpr_1y,rx2_1y,g3_fwd,r3_hpr_1y,rx3_1y,g4_fwd,r4_hpr_1y,rx4_1y,g5_fwd,r5_hpr_1y,rx5_1y,rx_avg_1y,CP_t
2000-01-31,3.97,4.48,4.84,5.1,5.29,0.03893221000178754,-0.03893221000178754,0.043825479540029515,-0.08765095908005903,0.04726519246711422,-0.14179557740134266,0.04974209189481401,-0.19896836757925604,0.051548261880576554,-0.25774130940288276,0.04871874907827149,0.044304154576693164,0.005371944574905627,0.05414461832128363,0.05586817853711122,0.016935968535323684,0.05717279017791338,0.06835346153580582,0.029421251534018283,0.05877294182362672,0.08090829074560163,0.04197608074381409,0.02342631134701542,0.017210637602727532
2000-02-29,4.07,4.51,4.83,5.05,5.21,0.03989356366167662,-0.03989356366167662,0.044112574618320875,-0.08822514923664175,0.04716980447638993,-0.14150941342916978,0.04926624130291805,-0.1970649652116722,0.050788166832105096,-0.2539408341605255,0.04833158557496513,0.04459111221658047,0.004697548554903848,0.05328426419252803,0.05615686486829699,0.016263301206620367,0.055555551782502405,0.06817386691532504,0.028280303253648414,0.0568758689488533,0.07978762610259185,0.03989406244091523,0.022283803864021963,0.014525638934692555
2000-03-31,4.16,4.48,4.71,4.88,5.0,0.040757992472167826,-0.040757992472167826,0.043825479540029515,-0.08765095908005903,0.04602443831127925,-0.13807331493383776,0.047646653467352994,-0.19058661386941197,0.04879016416943205,-0.24395082084716024,0.046892966607891204,0.04593336572819056,0.005175373256022735,0.05042235585377873,0.055789428271487335,0.015031435799319509,0.052513298935574215,0.06572158979695364,0.024963597324785813,0.05336420697774827,0.07439575488001415,0.03363776240784633,0.019702042196993598,0.012807227592242763
2000-04-30,4.43,4.7,4.87,5.01,5.13,0.043346804503365866,-0.043346804503365866,0.045928931888399735,-0.09185786377679947,0.04755130185822235,-0.14265390557466706,0.04888539772981066,-0.19554159091924264,0.05002749359964807,-0.2501374679982403,0.048511059273433604,0.04621550589809843,0.0028687013947325674,0.05079604179786759,0.05251597883951077,0.009169174336144906,0.05288768534457558,0.05976119670464891,0.016414392201283046,0.054595877078997684,0.06680380262555172,0.02345699812218585,0.012977316513586593,0.012047428351548522
2000-05-31,4.84,5.02,5.1,5.15,5.2,0.04726519246711422,-0.04726519246711422,0.04898062222162188,-0.09796124444324376,0.04974209189481401,-0.14922627568444202,0.050217716160617515,-0.20087086464247006,0.050693114315518165,-0.2534655715775908,0.050696051976129544,0.055093344216067895,0.007828151748953675,0.05126503124119826,0.06291573505658676,0.015650542589472544,0.05164458895802804,0.06795908797289713,0.020693895505782905,0.05259470693512075,0.07127831175370936,0.024013119286595136,0.017046427282701067,0.007511062322222873
2000-06-30,4.87,4.99,5.04,5.08,5.12,0.04755130185822235,-0.04755130185822235,0.0486949215387586,-0.0973898430775172,0.04917104400644938,-0.14751313201934813,0.04955177882924771,-0.19820711531699084,0.04993236874820893,-0.24966184374104466,0.04983854121929485,0.055384548932487135,0.007833247074264783,0.05012328894183092,0.06331077998207747,0.01575947812385512,0.050693983297642714,0.06960341463546324,0.02205211277724089,0.051454728424053825,0.07359430207394763,0.026043000215725275,0.017921959547771517,0.007357599552593368
2000-07-31,5.05,5.16,5.19,5.21,5.22,0.04926624130291805,-0.04926624130291805,0.05031281387358918,-0.10062562774717836,0.050598052763091435,-0.1517941582892743,0.050788166832105096,-0.20315266732842038,0.05088321031456982,-0.2544160515728491,0.05135938644426031,0.059579658311177335,0.010313417008259287,0.051168530542095955,0.07047019485149487,0.021203953548576827,0.05135850903914607,0.07915107684948874,0.029884835546570697,0.051263384244428695,0.0844776051482275,0.03521136384530945,0.024153392487179064,0.007207947126951137
2000-08-31,5.17,5.26,5.31,5.33,5.34,0.050407902543845765,-0.050407902543845765,0.05126329393754151,-0.10252658787508302,0.05173819540441437,-0.1552145862132431,0.051928092860359105,-0.20771237144143642,0.05202302806715181,-0.26011514033575905,0.05211868533123726,0.0636905640898848,0.013282661546039035,0.05268799833816008,0.0785046784603153,0.02809677591646953,0.05249778522819332,0.08947336437093126,0.03906546182708549,0.05240276889432263,0.09669916430269457,0.0462912617588488,0.03168404026211072,0.006131540039172178
2000-09-30,5.06,5.1,5.14,5.16,5.19,0.04936142953772409,-0.04936142953772409,0.04974209189481401,-0.09948418378962802,0.05012260940321052,-0.15036782820963157,0.05031281387358918,-0.2012512554943567,0.050598052763091435,-0.2529902638154572,0.05012275425190393,0.06585600280964396,0.016494573271919867,0.05088364442000355,0.08156497477496694,0.032203545237242844,0.05088342728472514,0.09196618565370249,0.042604756115978394,0.05173900832110048,0.09803095055173461,0.048669521014010515,0.034993098909787905,0.0049604580729102395
2000-10-31,5.13,5.12,5.13,5.14,5.17,0.05002749359964807,-0.05002749359964807,0.04993236874820893,-0.09986473749641786,0.05002749359964807,-0.1500824807989442,0.05012260940321052,-0.20049043761284208,0.050407902543845765,-0.2520395127192288,0.049837243896769794,0.06885068396724832,0.018823190367600252,0.050217743302526346,0.08727895451988092,0.037251460920232855,0.05040795681389787,0.0996058946728899,0.04957840107324183,0.05154907510638673,0.10825500562535245,0.058227512025704385,0.040970141096694834,0.004694011635727674
2000-11-30,4.97,4.9,4.88,4.89,4.92,0.048504409059615054,-0.048504409059615054,0.04783732941416006,-0.09567465882832012,0.047646653467352994,-0.14293996040205897,0.0477419959854211,-0.1909679839416844,0.04802796901058147,-0.24013984505290736,0.04717024976870506,0.06407909723856953,0.015574688178954472,0.04726530157373886,0.07549022159881719,0.026985812539202132,0.04802802353962543,0.08168291410103018,0.033178505041415125,0.04917186111122296,0.0847957499121145,0.036291340852499444,0.028007586653017794,0.005014470552745997
