observation_date,DEUPRMNCG02IXOBM
1991-01-01,135.3112759396620
1991-02-01,137.1114259521630
1991-03-01,143.7119759980000
1991-04-01,144.8120676723060
1991-05-01,125.7104758729890
1991-06-01,142.3118593216100
1991-07-01,119.8099841653470
1991-08-01,101.2084340361700
1991-09-01,150.0125010417530
1991-10-01,156.2130177514790
1991-11-01,147.9123260271690
1991-12-01,120.1100091674310
1992-01-01,130.3108592382700
1992-02-01,137.7114759563300
1992-03-01,147.9123260271690
1992-04-01,134.6112176014670
1992-05-01,123.3102758563210
1992-06-01,127.6106342195180
1992-07-01,110.1091757646470
1992-08-01,96.5080423368614
1992-09-01,145.9121593466120
1992-10-01,145.8121510125840
1992-11-01,140.2116843070260
1992-12-01,120.3100258354860
1993-01-01,112.6093841153430
1993-02-01,123.5102925243770
1993-03-01,144.8120676723060
1993-04-01,123.6103008584050
1993-05-01,115.3096091340940
1993-06-01,126.6105508792400
1993-07-01,94.6078839903325
1993-08-01,101.9084923743650
1993-09-01,141.3117759813320
1993-10-01,137.0114176181350
1993-11-01,138.8115676306360
1993-12-01,122.2101841820150
1994-01-01,111.8093174431200
1994-02-01,118.7098924910410
1994-03-01,142.7118926577210
1994-04-01,119.2099341611800
1994-05-01,118.9099091590970
1994-06-01,125.5104592049340
1994-07-01,93.3077756479706
1994-08-01,101.3084423701980
1994-09-01,139.4116176348030
1994-10-01,129.0107508959080
1994-11-01,138.3115259604970
1994-12-01,126.0105008750730
1995-01-01,113.0094174514540
1995-02-01,115.3096091340940
1995-03-01,134.6112176014670
1995-04-01,107.2089340778400
1995-05-01,118.7098924910410
1995-06-01,113.7094757896490
1995-07-01,94.6078839903325
1995-08-01,93.1077589799150
1995-09-01,128.0106675556300
1995-10-01,125.6104675389620
1995-11-01,132.5110425868820
1995-12-01,101.6084673722810
1996-01-01,111.2092674389530
1996-02-01,115.5096258021500
1996-03-01,122.3101925160430
1996-04-01,111.3092757729810
1996-05-01,107.9089924160350
1996-06-01,107.9089924160350
1996-07-01,101.7084757063090
1996-08-01,89.2074339528294
1996-09-01,122.5102091840990
1996-10-01,126.9105758813230
1996-11-01,124.8104008667390
1996-12-01,99.4082840236686
1997-01-01,105.5087923993670
1997-02-01,108.5090424202020
1997-03-01,110.5092091007580
1997-04-01,120.7100591715980
1997-05-01,91.7076423035253
1997-06-01,115.6096341361780
1997-07-01,104.9087423952000
1997-08-01,79.8066505542128
1997-09-01,129.9108259021580
1997-10-01,130.2108509042420
1997-11-01,124.5103758646550
1997-12-01,103.3086090507540
1998-01-01,104.2086840570050
1998-02-01,113.4094507875660
1998-03-01,132.5110425868820
1998-04-01,113.7094757896490
1998-05-01,107.1089257438120
1998-06-01,112.7093924493710
1998-07-01,105.9088257354780
1998-08-01,86.3071922660221
1998-09-01,133.2111009250770
1998-10-01,129.5107925660470
1998-11-01,128.5107092257690
1998-12-01,102.5085423785320
1999-01-01,98.4082006833903
1999-02-01,107.0089174097840
1999-03-01,127.7106425535460
1999-04-01,108.2090174181180
1999-05-01,102.1085090424200
1999-06-01,116.6097174764560
1999-07-01,100.1083423618630
1999-08-01,95.2079339944995
1999-09-01,132.6110509209100
1999-10-01,128.8107342278520
1999-11-01,136.1113426118840
1999-12-01,111.5092924410370
2000-01-01,103.9086590549210
2000-02-01,121.4101175097920
2000-03-01,130.3108592382700
2000-04-01,107.6089674139510
2000-05-01,128.8107342278520
2000-06-01,107.1089257438120
2000-07-01,101.8084840403370
2000-08-01,100.2083506958910
2000-09-01,130.3108592382700
2000-10-01,129.3107758979910
2000-11-01,135.7113092757730
2000-12-01,105.7088090674220
2001-01-01,116.2096841403450
2001-02-01,116.9097424785400
2001-03-01,133.1110925910490
2001-04-01,111.5092924410370
2001-05-01,120.1100091674310
2001-06-01,113.9094924577050
2001-07-01,102.5085423785320
2001-08-01,103.0085840486710
2001-09-01,122.2101841820150
2001-10-01,128.1106758896570
2001-11-01,128.5107092257690
2001-12-01,98.2081840153346
2002-01-01,108.4090340861740
2002-02-01,106.2088507375610
2002-03-01,111.4092841070090
2002-04-01,109.7091424285360
2002-05-01,94.3078589882490
2002-06-01,107.1089257438120
2002-07-01,101.0084173681140
2002-08-01,85.0070839236603
2002-09-01,118.6098841570130
2002-10-01,120.2100175014580
2002-11-01,118.2098508209020
2002-12-01,92.4077006417201
2003-01-01,97.1080923410284
2003-02-01,100.8084007000580
2003-03-01,106.3088590715890
2003-04-01,99.6083006917243
2003-05-01,93.1077589799150
2003-06-01,90.9075756313026
2003-07-01,103.3086090507540
2003-08-01,73.1060921743478
2003-09-01,115.6096341361780
2003-10-01,115.8096508042340
2003-11-01,111.8093174431200
2003-12-01,93.9078256521376
2004-01-01,93.9078256521376
2004-02-01,98.3081923493624
2004-03-01,117.1097591465960
2004-04-01,101.7084757063090
2004-05-01,95.4079506625552
2004-06-01,103.4086173847820
2004-07-01,98.8082340195016
2004-08-01,78.5065422118510
2004-09-01,114.4095341278440
2004-10-01,109.1090924243690
2004-11-01,111.9093257771480
2004-12-01,94.7078923243604
2005-01-01,92.2076839736644
