observation_date,DEUPRMNCG03IXOBSAM
1991-01-01,99.3165527587931
1991-02-01,96.8161360226704
1991-03-01,96.4160693448908
1991-04-01,95.4159026504417
1991-05-01,93.8156359393232
1991-06-01,94.6157692948825
1991-07-01,94.9158193032172
1991-08-01,93.4155692615436
1991-09-01,93.2155359226538
1991-10-01,95.1158526421070
1991-11-01,94.8158026337723
1991-12-01,94.3157192865477
1992-01-01,95.6159359893315
1992-02-01,95.4159026504417
1992-03-01,93.3155525920986
1992-04-01,94.4157359559926
1992-05-01,92.7154525754292
1992-06-01,92.3153858976496
1992-07-01,91.8153025504251
1992-08-01,92.9154859143190
1992-09-01,93.5155859309885
1992-10-01,93.0155025837640
1992-11-01,90.8151358559760
1992-12-01,91.9153192198700
1993-01-01,89.7149524920820
1993-02-01,88.6147691281880
1993-03-01,89.6149358226371
1993-04-01,88.6147691281880
1993-05-01,87.9146524420737
1993-06-01,89.1148524754126
1993-07-01,87.9146524420737
1993-08-01,88.9148191365228
1993-09-01,90.6151025170862
1993-10-01,89.8149691615269
1993-11-01,90.3150525087514
1993-12-01,90.6151025170862
1994-01-01,88.9148191365228
1994-02-01,88.8148024670778
1994-03-01,89.4149024837473
1994-04-01,87.4145690948491
1994-05-01,87.8146357726288
1994-06-01,88.4147357892982
1994-07-01,88.4147357892982
1994-08-01,88.9148191365228
1994-09-01,87.8146357726288
1994-10-01,89.4149024837473
1994-11-01,91.3152192032005
1994-12-01,88.4147357892982
1995-01-01,90.4150691781964
1995-02-01,91.7152858809802
1995-03-01,90.5150858476413
1995-04-01,90.5150858476413
1995-05-01,91.5152525420904
1995-06-01,89.5149191531922
1995-07-01,90.3150525087514
1995-08-01,90.3150525087514
1995-09-01,90.1150191698616
1995-10-01,89.0148358059676
1995-11-01,89.0148358059676
1995-12-01,87.4145690948491
1996-01-01,88.4147357892982
1996-02-01,90.7151191865311
1996-03-01,89.9149858309718
1996-04-01,91.1151858643107
1996-05-01,91.3152192032005
1996-06-01,90.0150025004167
1996-07-01,89.7149524920820
1996-08-01,90.5150858476413
1996-09-01,90.6151025170862
1996-10-01,89.4149024837473
1996-11-01,89.8149691615269
1996-12-01,90.4150691781964
1997-01-01,90.0150025004167
1997-02-01,90.6151025170862
1997-03-01,90.7151191865311
1997-04-01,89.7149524920820
1997-05-01,90.2150358393065
1997-06-01,90.3150525087514
1997-07-01,90.7151191865311
1997-08-01,88.8148024670778
1997-09-01,89.4149024837473
1997-10-01,90.0150025004167
1997-11-01,89.2148691448574
1997-12-01,92.5154192365394
1998-01-01,92.2153692282047
1998-02-01,89.9149858309718
1998-03-01,90.5150858476413
1998-04-01,91.4152358726454
1998-05-01,90.0150025004167
1998-06-01,90.3150525087514
1998-07-01,90.6151025170862
1998-08-01,88.5147524587431
1998-09-01,89.7149524920820
1998-10-01,88.4147357892982
1998-11-01,88.9148191365228
1998-12-01,90.5150858476413
1999-01-01,91.1151858643107
1999-02-01,89.8149691615269
1999-03-01,91.6152692115352
1999-04-01,90.3150525087514
1999-05-01,91.6152692115352
1999-06-01,90.9151525254209
1999-07-01,91.7152858809802
1999-08-01,91.4152358726454
1999-09-01,91.3152192032005
1999-10-01,91.6152692115352
1999-11-01,93.1155192532088
1999-12-01,92.5154192365394
2000-01-01,88.3147191198533
2000-02-01,90.6151025170862
2000-03-01,91.4152358726454
2000-04-01,92.3153858976496
2000-05-01,94.1156859476579
2000-06-01,93.3155525920986
2000-07-01,92.4154025670945
2000-08-01,94.0156692782130
2000-09-01,93.9156526087681
2000-10-01,93.3155525920986
2000-11-01,93.9156526087681
2000-12-01,91.9153192198700
2001-01-01,90.6151025170862
2001-02-01,93.1155192532088
2001-03-01,92.0153358893149
2001-04-01,91.5152525420904
2001-05-01,92.6154359059843
2001-06-01,92.5154192365394
2001-07-01,91.9153192198700
2001-08-01,94.1156859476579
2001-09-01,91.0151691948658
2001-10-01,91.8153025504251
2001-11-01,90.3150525087514
2001-12-01,90.8151358559760
2002-01-01,91.3152192032005
2002-02-01,92.0153358893149
2002-03-01,92.0153358893149
2002-04-01,91.0151691948658
2002-05-01,91.8153025504251
2002-06-01,91.2152025337556
2002-07-01,90.5150858476413
2002-08-01,91.8153025504251
2002-09-01,91.2152025337556
2002-10-01,91.5152525420904
2002-11-01,92.1153525587598
2002-12-01,90.5150858476413
2003-01-01,91.0151691948658
2003-02-01,90.4150691781964
2003-03-01,90.5150858476413
2003-04-01,92.5154192365394
2003-05-01,89.8149691615269
2003-06-01,91.4152358726454
2003-07-01,92.5154192365394
2003-08-01,90.9151525254209
2003-09-01,89.0148358059676
2003-10-01,91.6152692115352
2003-11-01,89.9149858309718
2003-12-01,92.2153692282047
2004-01-01,91.2152025337556
2004-02-01,91.2152025337556
2004-03-01,90.2150358393065
2004-04-01,91.5152525420904
2004-05-01,90.1150191698616
2004-06-01,91.5152525420904
2004-07-01,92.0153358893149
2004-08-01,90.9151525254209
2004-09-01,90.7151191865311
2004-10-01,91.0151691948658
2004-11-01,91.8153025504251
2004-12-01,92.2153692282047
2005-01-01,92.5154192365394
2005-02-01,93.4155692615436
2005-03-01,93.9156526087681
2005-04-01,93.1155192532088
2005-05-01,94.1156859476579
2005-06-01,94.3157192865477
2005-07-01,96.2160360060010
2005-08-01,95.0158359726621
2005-09-01,95.6159359893315
2005-10-01,98.0163360560093
2005-11-01,96.1160193365561
2005-12-01,94.1156859476579
2006-01-01,95.4159026504417
2006-02-01,95.3158859809968
2006-03-01,94.6157692948825
2006-04-01,96.6161026837806
2006-05-01,97.0161693615602
2006-06-01,96.7161193532255
2006-07-01,97.2162027004501
2006-08-01,97.1161860310051
2006-09-01,96.4160693448908
2006-10-01,97.3162193698950
2006-11-01,98.6164360726788
2006-12-01,98.4164027337890
2007-01-01,98.4164027337890
2007-02-01,99.4165694282380
2007-03-01,100.5167527921320
2007-04-01,101.6169361560260
2007-05-01,102.5170861810300
2007-06-01,98.3163860643440
2007-07-01,99.6166027671278
2007-08-01,102.4170695115850
2007-09-01,102.9171528588100
2007-10-01,101.0168361393570
2007-11-01,100.1166861143520
2007-12-01,101.3168861476910
2008-01-01,102.4170695115850
2008-02-01,100.9168194699120
2008-03-01,100.7167861310220
2008-04-01,98.4164027337890
2008-05-01,98.2163693948991
2008-06-01,98.5164194032339
2008-07-01,98.6164360726788
2008-08-01,100.0166694449070
2008-09-01,98.7164527421237
2008-10-01,99.3165527587931
2008-11-01,96.6161026837806
2008-12-01,99.4165694282380
2009-01-01,98.5164194032339
2009-02-01,96.2160360060010
2009-03-01,94.2157026171028
2009-04-01,95.8159693282214
2009-05-01,95.5159193198866
2009-06-01,94.5157526254376
2009-07-01,94.2157026171028
2009-08-01,94.6157692948825
2009-09-01,96.9161526921154
2009-10-01,94.8158026337723
2009-11-01,95.8159693282214
2009-12-01,97.7162860476746
2010-01-01,98.0163360560093
2010-02-01,95.5159193198866
2010-03-01,97.1161860310051
2010-04-01,96.2160360060010
2010-05-01,96.7161193532255
2010-06-01,96.8161360226704
2010-07-01,97.8163027171195
2010-08-01,98.3163860643440
2010-09-01,99.2165360893482
2010-10-01,98.3163860643440
2010-11-01,99.2165360893482
2010-12-01,96.9161526921154
2011-01-01,98.7164527421237
2011-02-01,100.4167361226870
2011-03-01,100.1166861143520
2011-04-01,100.6167694615770
2011-05-01,100.2167027837970
2011-06-01,100.3167194532420
2011-07-01,100.7167861310220
2011-08-01,97.3162193698950
2011-09-01,98.4164027337890
2011-10-01,98.0163360560093
2011-11-01,98.2163693948991
2011-12-01,98.0163360560093
2012-01-01,96.0160026671112
2012-02-01,96.6161026837806
2012-03-01,99.2165360893482
2012-04-01,94.7157859643274
2012-05-01,97.8163027171195
2012-06-01,97.8163027171195
2012-07-01,97.3162193698950
2012-08-01,98.1163527254542
2012-09-01,98.8164694115686
2012-10-01,99.2165360893482
2012-11-01,96.9161526921154
2012-12-01,99.7166194365727
2013-01-01,98.6164360726788
2013-02-01,97.2162027004501
2013-03-01,97.6162693782297
2013-04-01,97.6162693782297
2013-05-01,98.7164527421237
2013-06-01,97.5162527087848
2013-07-01,98.0163360560093
2013-08-01,98.6164360726788
2013-09-01,98.6164360726788
2013-10-01,99.2165360893482
2013-11-01,100.0166694449070
2013-12-01,101.6169361560260
2014-01-01,100.4167361226870
2014-02-01,100.1166861143520
2014-03-01,100.1166861143520
2014-04-01,101.7169528254710
2014-05-01,98.5164194032339
2014-06-01,99.8166361060176
2014-07-01,100.2167027837970
2014-08-01,99.9166527754626
2014-09-01,99.4165694282380
2014-10-01,100.6167694615770
2014-11-01,99.5165860976829
2014-12-01,101.5169194865810
2015-01-01,98.7164527421237
2015-02-01,98.6164360726788
2015-03-01,100.8168028004670
2015-04-01,99.5165860976829
2015-05-01,99.3165527587931
2015-06-01,102.6171028504750
2015-07-01,102.3170528421400
2015-08-01,100.0166694449070
2015-09-01,98.6164360726788
2015-10-01,97.6162693782297
2015-11-01,99.5165860976829
2015-12-01,100.1166861143520
2016-01-01,102.3170528421400
2016-02-01,101.3168861476910
2016-03-01,100.0166694449070
2016-04-01,100.8168028004670
2016-05-01,100.9168194699120
2016-06-01,100.7167861310220
2016-07-01,100.4167361226870
2016-08-01,101.5169194865810
2016-09-01,101.2168694782460
2016-10-01,100.9168194699120
2016-11-01,102.1170195032510
2016-12-01,99.4165694282380
2017-01-01,99.8166361060176
2017-02-01,102.5170861810300
2017-03-01,101.7169528254710
2017-04-01,101.7169528254710
2017-05-01,102.7171195199200
2017-06-01,102.6171028504750
2017-07-01,104.0173362227040
2017-08-01,103.9173195532590
2017-09-01,104.1173528921490
2017-10-01,101.7169528254710
2017-11-01,106.3177196199370
2017-12-01,105.0175029171530
2018-01-01,106.7177862977160
2018-02-01,106.4177362893820
2018-03-01,106.0176696116020
2018-04-01,105.4175695949320
2018-05-01,111.8186364394070
2018-06-01,109.3182197032840
2018-07-01,109.1181863643940
2018-08-01,111.3185530921820
2018-09-01,109.9183197199530
2018-10-01,104.2173695615940
2018-11-01,101.8169694949160
2018-12-01,101.1168528088010
2019-01-01,103.3172195365890
2019-02-01,101.7169528254710
2019-03-01,101.9169861643610
2019-04-01,102.8171361893650
2019-05-01,102.4170695115850
2019-06-01,99.8166361060176
2019-07-01,100.7167861310220
2019-08-01,100.0166694449070
2019-09-01,98.7164527421237
2019-10-01,100.7167861310220
2019-11-01,100.9168194699120
2019-12-01,99.2165360893482
2020-01-01,102.2170361726950
2020-02-01,104.8174695782630
2020-03-01,98.2163693948991
2020-04-01,92.6154359059843
2020-05-01,91.8153025504251
2020-06-01,97.0161693615602
2020-07-01,96.7161193532255
2020-08-01,95.1158526421070
2020-09-01,98.3163860643440
2020-10-01,96.6161026837806
2020-11-01,95.4159026504417
2020-12-01,98.3163860643440
2021-01-01,95.5159193198866
2021-02-01,95.7159526587764
2021-03-01,100.0166694449070
2021-04-01,94.5157526254376
2021-05-01,99.2165360893482
2021-06-01,101.5169194865810
2021-07-01,100.1166861143520
2021-08-01,99.9166527754626
2021-09-01,100.8168028004670
2021-10-01,99.8166361060176
2021-11-01,101.3168861476910
2021-12-01,100.1166861143520
2022-01-01,100.0166694449070
2022-02-01,104.0173362227040
2022-03-01,103.7172862143690
2022-04-01,102.0170028338060
2022-05-01,101.1168528088010
2022-06-01,102.2170361726950
2022-07-01,99.1165194199033
