observation_date,PITGCG01DEM661N
1995-01-01,79.4404538603628
1995-02-01,79.5225204449293
1995-03-01,79.5963803710391
1995-04-01,79.7605135401721
1995-05-01,79.6784469556056
1995-06-01,79.6784469556056
1995-07-01,79.8343734662820
1995-08-01,79.9164400508485
1995-09-01,80.0805732199814
1995-10-01,80.1544331460913
1995-11-01,80.1544331460913
1995-12-01,80.1544331460913
1996-01-01,80.3185663152243
1996-02-01,80.3185663152243
1996-03-01,80.3185663152243
1996-04-01,80.4006328997908
1996-05-01,80.5565594104671
1996-06-01,80.7124859211434
1996-07-01,80.6386259950336
1996-08-01,80.6386259950336
1996-09-01,80.7124859211434
1996-10-01,80.7124859211434
1996-11-01,80.7945525057099
1996-12-01,80.8766190902764
1997-01-01,80.9586856748429
1997-02-01,81.0325456009527
1997-03-01,81.1146121855192
1997-04-01,81.4346718653286
1997-05-01,81.6726649605714
1997-06-01,81.5905983760049
1997-07-01,81.6726649605714
1997-08-01,81.8367981297043
1997-09-01,81.9106580558142
1997-10-01,81.9927246403806
1997-11-01,82.0747912249471
1997-12-01,82.0747912249471
1998-01-01,82.1568578095136
1998-02-01,82.1568578095136
1998-03-01,82.0747912249471
1998-04-01,82.0747912249471
1998-05-01,82.0747912249471
1998-06-01,82.0747912249471
1998-07-01,82.0747912249471
1998-08-01,81.9927246403806
1998-09-01,81.8367981297043
1998-10-01,81.5905983760049
1998-11-01,81.4346718653286
1998-12-01,81.4346718653286
1999-01-01,81.3526052807620
1999-02-01,81.2787453546522
1999-03-01,81.1966787700857
1999-04-01,81.1146121855192
1999-05-01,81.1146121855192
1999-06-01,81.1966787700857
1999-07-01,81.1966787700857
1999-08-01,81.1966787700857
1999-09-01,81.1966787700857
1999-10-01,81.3526052807620
1999-11-01,81.2787453546522
1999-12-01,81.2787453546522
2000-01-01,81.2459187208256
2000-02-01,81.4100518899586
2000-03-01,81.4100518899586
2000-04-01,81.5741850590916
2000-05-01,81.8203848127910
2000-06-01,81.9845179819240
2000-07-01,82.1486511510570
2000-08-01,82.3127843201900
2000-09-01,82.4769174893230
2000-10-01,82.5589840738894
2000-11-01,82.8051838275889
2000-12-01,82.9693169967219
2001-01-01,83.2975833349879
2001-02-01,83.3796499195544
2001-03-01,84.0361825960863
2001-04-01,84.2003157652193
2001-05-01,84.5285821034852
2001-06-01,84.6927152726182
2001-07-01,84.6106486880517
2001-08-01,84.5285821034852
2001-09-01,84.5285821034852
2001-10-01,84.6106486880517
2001-11-01,84.4465155189188
2001-12-01,84.4465155189188
2002-01-01,84.8568484417512
2002-02-01,84.7747818571847
2002-03-01,84.6927152726182
2002-04-01,84.8568484417512
2002-05-01,84.8568484417512
2002-06-01,84.6927152726182
2002-07-01,84.6106486880517
2002-08-01,84.6106486880517
2002-09-01,84.6106486880517
2002-10-01,84.6927152726182
2002-11-01,84.6927152726182
2002-12-01,84.6927152726182
2003-01-01,85.0209816108842
2003-02-01,85.1030481954507
2003-03-01,84.9389150263177
2003-04-01,85.0209816108842
2003-05-01,84.9389150263177
2003-06-01,84.9389150263177
2003-07-01,85.0209816108842
2003-08-01,85.0209816108842
2003-09-01,85.2671813645836
2003-10-01,85.2671813645836
2003-11-01,85.2671813645836
2003-12-01,85.0209816108842
2004-01-01,85.0209816108842
2004-02-01,85.0209816108842
2004-03-01,85.6775142874161
2004-04-01,85.6775142874161
2004-05-01,85.5954477028496
2004-06-01,85.6775142874161
2004-07-01,85.7595808719826
2004-08-01,85.6775142874161
2004-09-01,85.7595808719826
2004-10-01,85.7595808719826
2004-11-01,85.7595808719826
