observation_date,HOHWMN02DEM661N
1979-06-01,
1979-07-01,1.123374443552510
1979-08-01,
1979-09-01,
1979-10-01,1.124425308326640
1979-11-01,
1979-12-01,
1980-01-01,1.114967525359410
1980-02-01,
1980-03-01,
1980-04-01,1.119170984455960
1980-05-01,
1980-06-01,
1980-07-01,1.117069254907680
1980-08-01,
1980-09-01,
1980-10-01,1.109713201488730
1980-11-01,
1980-12-01,
1981-01-01,1.096051959424940
1981-02-01,
1981-03-01,
1981-04-01,1.099204553747350
1981-05-01,
1981-06-01,
1981-07-01,1.106560607166310
1981-08-01,
1981-09-01,
1981-10-01,1.103408012843900
1981-11-01,
1981-12-01,
1982-01-01,1.098153688973220
1982-02-01,
1982-03-01,
1982-04-01,1.091848500328400
1982-05-01,
1982-06-01,
1982-07-01,1.098153688973220
1982-08-01,
1982-09-01,
1982-10-01,1.068729475297380
1982-11-01,
1982-12-01,
1983-01-01,1.057169962781870
1983-02-01,
1983-03-01,
1983-04-01,1.084492446909440
1983-05-01,
1983-06-01,
1983-07-01,1.100255418521490
1983-08-01,
1983-09-01,
1983-10-01,1.099204553747350
1983-11-01,
1983-12-01,
1984-01-01,1.087645041231850
1984-02-01,
1984-03-01,
1984-04-01,1.098153688973220
1984-05-01,
1984-06-01,
1984-07-01,1.102357148069770
1984-08-01,
1984-09-01,
1984-10-01,1.108662336714590
1984-11-01,
1984-12-01,
1985-01-01,1.101306283295630
1985-02-01,
1985-03-01,
1985-04-01,1.089746770780120
1985-05-01,
1985-06-01,
1985-07-01,1.088695906005980
1985-08-01,
1985-09-01,
1985-10-01,1.088695906005980
1985-11-01,
1985-12-01,
1986-01-01,1.080288987812890
1986-02-01,
1986-03-01,
1986-04-01,1.090797635554260
1986-05-01,
1986-06-01,
1986-07-01,1.086594176457710
1986-08-01,
1986-09-01,
1986-10-01,1.082390717361160
1986-11-01,
1986-12-01,
1987-01-01,1.071882069619790
1987-02-01,
1987-03-01,
1987-04-01,1.076085528716340
1987-05-01,
1987-06-01,
1987-07-01,1.078187258264610
1987-08-01,
1987-09-01,
1987-10-01,1.081339852587030
1987-11-01,
1987-12-01,
1988-01-01,1.076085528716340
1988-02-01,
1988-03-01,
1988-04-01,1.068729475297380
1988-05-01,
1988-06-01,
1988-07-01,1.075034663942200
1988-08-01,
1988-09-01,
1988-10-01,1.079238123038750
1988-11-01,
1988-12-01,
1989-01-01,1.068729475297380
1989-02-01,
1989-03-01,
1989-04-01,1.077136393490480
1989-05-01,
1989-06-01,
1989-07-01,1.069780340071520
1989-08-01,
1989-09-01,
1989-10-01,1.068729475297380
1989-11-01,
1989-12-01,
1990-01-01,1.057169962781870
1990-02-01,
1990-03-01,
1990-04-01,1.059271692330150
1990-05-01,
1990-06-01,
1990-07-01,1.058220827556010
1990-08-01,
1990-09-01,
1990-10-01,1.062424286652560
1990-11-01,
1990-12-01,
1991-01-01,1.054017368459460
1991-02-01,
1991-03-01,
1991-04-01,1.054017368459460
1991-05-01,
1991-06-01,
1991-07-01,1.048763044588780
1991-08-01,
1991-09-01,
1991-10-01,1.046661315040500
1991-11-01,
1991-12-01,
1992-01-01,1.039305261621540
1992-02-01,
1992-03-01,
1992-04-01,1.039305261621540
1992-05-01,
1992-06-01,
1992-07-01,1.040356126395680
1992-08-01,
1992-09-01,
