STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1998-08,112.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1998-09,112.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1998-10,111.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1998-11,111.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1998-12,111.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-01,111.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-02,111.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-03,111.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-04,109.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-05,109.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-06,109.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-07,108.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-08,108.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-09,108.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-10,108.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-11,108.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1999-12,108.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-01,108.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-02,108.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-03,108.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-04,108.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-05,108.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-06,108.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-07,107.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-08,107.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-09,107.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-10,107.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-11,107.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2000-12,106.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-01,105.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-02,105.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-03,105.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-04,104.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-05,104.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-06,104.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-07,104.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-08,104.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-09,104.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-10,103.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-11,103.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2001-12,102.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-01,102.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-02,102.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-03,101.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-04,101.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-05,101.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-06,100.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-07,100.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-08,99.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-09,99.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-10,99.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-11,98.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2002-12,98.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-01,97.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-02,97.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-03,96.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-04,97.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-05,96.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-06,96.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-07,96.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-08,96.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-09,96.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-10,96.1,i,
