observation_date,DEUODMNTO01IXOBSAM
1960-01-01,21.9790043769124
1960-02-01,22.3113495034779
1960-03-01,23.1631981473342
1960-04-01,22.9366408940626
1960-05-01,24.4612363856325
1960-06-01,21.7508953305296
1960-07-01,23.5166729153640
1960-08-01,24.7207045854065
1960-09-01,23.3665201877090
1960-10-01,23.6589649577967
1960-11-01,23.2081828341767
1960-12-01,23.5147903769235
1961-01-01,23.7394003080481
1961-02-01,23.7330929050753
1961-03-01,23.1867454092077
1961-04-01,23.0567957280982
1961-05-01,22.7422941219019
1961-06-01,22.4577559064072
1961-07-01,22.4023885713921
1961-08-01,22.3353321834369
1961-09-01,22.6349361687872
1961-10-01,22.2837812989860
1961-11-01,22.8310447673940
1961-12-01,22.9459713214889
1962-01-01,23.4890699752024
1962-02-01,22.7615324095988
1962-03-01,22.6056315026837
1962-04-01,22.6056315026837
1962-05-01,22.9174333165138
1962-06-01,23.2292351303440
1962-07-01,23.1253011924006
1962-08-01,23.1253011924006
1962-09-01,23.3331690682873
1962-10-01,22.6056315026837
1962-11-01,23.2812020993156
1962-12-01,23.1253011924006
1963-01-01,22.8654663475422
1963-02-01,21.8261269681084
1963-03-01,22.5536645337120
1963-04-01,23.5930039131458
1963-05-01,24.1126736028626
1963-06-01,24.1646405718343
1963-07-01,24.4244754166928
1963-08-01,25.1000460133247
1963-09-01,24.8921781374379
1963-10-01,25.6716826720132
1963-11-01,26.2952862996735
1963-12-01,25.1000460133247
1964-01-01,26.5551211445319
1964-02-01,27.8542953688241
1964-03-01,26.6590550824753
1964-04-01,26.6590550824753
1964-05-01,27.2306917411638
1964-06-01,27.2826587101355
1964-07-01,27.7503614308807
1964-08-01,27.2306917411638
1964-09-01,27.2826587101355
1964-10-01,27.3865926480789
1964-11-01,27.4905265860223
1964-12-01,28.4259320275126
1965-01-01,28.6337999033994
1965-02-01,28.1141302136825
1965-03-01,27.8023283998524
1965-04-01,28.3219980895693
1965-05-01,27.9062623377958
1965-06-01,27.4905265860223
1965-07-01,28.2180641516259
1965-08-01,27.7503614308807
1965-09-01,29.3093705000313
1965-10-01,28.4259320275126
1965-11-01,28.2700311205976
1965-12-01,28.7897008103144
1966-01-01,28.1141302136825
1966-02-01,28.5298659654560
1966-03-01,29.3613374690030
1966-04-01,28.7897008103144
1966-05-01,28.1660971826542
1966-06-01,28.3739650585409
1966-07-01,27.5424935549940
1966-08-01,27.1267578032205
1966-09-01,27.4905265860223
1966-10-01,27.1787247721922
1966-11-01,26.2952862996735
1966-12-01,25.7236496409849
1967-01-01,25.2559469202397
1967-02-01,25.9834844858434
1967-03-01,26.5551211445319
1967-04-01,25.8275835789283
1967-05-01,26.9708568963054
1967-06-01,27.8023283998524
1967-07-01,27.8023283998524
1967-08-01,28.6337999033994
1967-09-01,29.2054365620879
1967-10-01,30.3487098794650
1967-11-01,30.7644456312385
1967-12-01,31.8557519796440
1968-01-01,30.1928089725500
1968-02-01,31.1801813830120
1968-03-01,30.5046107863801
1968-04-01,32.4793556073042
1968-05-01,33.8304968005680
1968-06-01,33.5186949867379
1968-07-01,34.5060673972000
1968-08-01,35.6493407145771
1968-09-01,35.7532746525204
1968-10-01,36.4288452491524
1968-11-01,37.5721185665295
1968-12-01,38.6114579459632
1969-01-01,39.0271936977367
1969-02-01,39.1830946046518
1969-03-01,39.5468633874536
1969-04-01,40.4303018599723
1969-05-01,40.6901367048307
1969-06-01,40.6381697358590
1969-07-01,42.2491457739813
1969-08-01,43.2884851534150
1969-09-01,42.0932448670662
1969-10-01,41.4696412394060
1969-11-01,41.7814430532361
1969-12-01,41.0539054876325
1970-01-01,40.0665330771705
1970-02-01,41.6775091152927
1970-03-01,40.9499715496891
1970-04-01,39.1311276356801
1970-05-01,40.0665330771705
1970-06-01,39.4948964184819
1970-07-01,40.0665330771705
1970-08-01,40.2224339840855
1970-09-01,40.1704670151138
1970-10-01,38.7153918839066
1970-11-01,39.8586652012837
1970-12-01,40.3263679220289
1971-01-01,39.3389955115668
1971-02-01,38.2476891631614
1971-03-01,38.9232597597933
1971-04-01,39.5988303564253
1971-05-01,39.1311276356801
1971-06-01,39.4948964184819
1971-07-01,39.7027642943686
1971-08-01,38.2476891631614
1971-09-01,38.8193258218500
1971-10-01,38.4555570390482
1971-11-01,38.1957221941897
1971-12-01,36.5847461560674
1972-01-01,37.8839203803596
1972-02-01,38.6634249149349
1972-03-01,39.0271936977367
1972-04-01,39.9106321702554
1972-05-01,39.6507973253970
1972-06-01,40.3783348910006
1972-07-01,39.7547312633403
1972-08-01,39.7547312633403
1972-09-01,41.2617733635192
1972-10-01,42.5609475878114
1972-11-01,43.6002869672451
1972-12-01,45.9388005709711
1973-01-01,49.5245214300174
1973-02-01,46.4065032917162
1973-03-01,45.2112630053674
1973-04-01,45.2112630053674
1973-05-01,49.9402571817909
1973-06-01,45.2632299743391
1973-07-01,45.1073290674241
1973-08-01,44.6396263466789
1973-09-01,45.0033951294807
1973-10-01,43.3404521223867
1973-11-01,44.1719236259337
1973-12-01,44.2238905949054
1974-01-01,45.7309326950843
1974-02-01,46.7183051055464
1974-03-01,45.6789657261126
1974-04-01,44.6915933156506
1974-05-01,45.0033951294807
1974-06-01,44.8994611915373
1974-07-01,42.5609475878114
1974-08-01,44.8474942225656
1974-09-01,41.5735751773494
1974-10-01,41.7814430532361
1974-11-01,40.4303018599723
1974-12-01,37.5201515975578
1975-01-01,40.7421036738024
1975-02-01,40.3783348910006
1975-03-01,38.7153918839066
1975-04-01,39.9106321702554
1975-05-01,39.0271936977367
1975-06-01,49.5764883989891
1975-07-01,41.5735751773494
1975-08-01,39.0791606667084
1975-09-01,41.2617733635192
1975-10-01,41.6255421463210
1975-11-01,41.9893109291229
1975-12-01,40.8460376117458
1976-01-01,43.5483199982735
1976-02-01,42.8207824326698
1976-03-01,43.3924190913584
1976-04-01,43.4963530293018
1976-05-01,43.1845512154716
1976-06-01,43.7561878741602
1976-07-01,52.5905725993469
1976-08-01,46.5104372296596
1976-09-01,45.1592960363957
1976-10-01,44.5876593777072
1976-11-01,44.4317584707921
1976-12-01,44.9514281605090
1977-01-01,43.3404521223867
1977-02-01,43.0286503085566
1977-03-01,44.2758575638771
1977-04-01,44.1199566569620
1977-05-01,44.0160227190186
1977-06-01,43.2884851534150
1977-07-01,42.5089806188397
1977-08-01,44.6915933156506
1977-09-01,44.7435602846223
1977-10-01,46.0427345089144
1977-11-01,47.7056775160084
1977-12-01,47.2899417642349
1978-01-01,45.6269987571409
1978-02-01,43.6002869672451
1978-03-01,44.7435602846223
1978-04-01,45.0553620984524
1978-05-01,45.4191308812542
1978-06-01,45.1592960363957
1978-07-01,45.6269987571409
1978-08-01,47.6017435780650
1978-09-01,48.2253472057253
1978-10-01,47.4458426711500
1978-11-01,48.1214132677819
1978-12-01,48.7450168954421
1979-01-01,46.4065032917162
1979-02-01,47.6537105470367
1979-03-01,47.4458426711500
1979-04-01,49.8882902128192
1979-05-01,50.0961580887060
1979-06-01,50.5638608094512
1979-07-01,50.2520589956210
1979-08-01,49.1607526472156
1979-09-01,50.2520589956210
1979-10-01,50.4599268715078
1979-11-01,49.6804223369325
1979-12-01,49.8363232438475
1980-01-01,49.9922241507626
1980-02-01,50.6158277784228
1980-03-01,50.4599268715078
1980-04-01,48.5371490195554
1980-05-01,49.6804223369325
1980-06-01,48.2773141746970
1980-07-01,47.3419087332066
1980-08-01,46.3545363227446
1980-09-01,46.3545363227446
1980-10-01,47.8615784229235
1980-11-01,45.9388005709711
1980-12-01,46.5104372296596
1981-01-01,47.4978096401217
1981-02-01,48.5371490195554
1981-03-01,47.7576444849801
1981-04-01,51.0835304991680
1981-05-01,47.1860078262915
1981-06-01,47.4458426711500
1981-07-01,48.5371490195554
1981-08-01,47.7576444849801
1981-09-01,47.2379747952632
1981-10-01,47.8096114539518
1981-11-01,47.5497766090933
1981-12-01,47.7576444849801
1982-01-01,47.2379747952632
1982-02-01,46.4584702606879
1982-03-01,46.6143711676030
1982-04-01,45.8348666330277
1982-05-01,44.5356924087355
1982-06-01,44.8474942225656
1982-07-01,44.4317584707921
