observation_date,DEUPROMANMISMEI
1950-01-01,10.996869999999999
1950-02-01,11.121280000000000
1950-03-01,11.238640000000000
1950-04-01,11.685650000000001
1950-05-01,11.798190000000000
1950-06-01,12.268090000000001
1950-07-01,12.893020000000000
1950-08-01,13.290419999999999
1950-09-01,13.642720000000001
1950-10-01,13.776389999999999
1950-11-01,13.837840000000000
1950-12-01,14.192370000000000
1951-01-01,14.346940000000000
1951-02-01,14.900340000000000
1951-03-01,14.047079999999999
1951-04-01,15.772110000000000
1951-05-01,14.336860000000000
1951-06-01,15.742559999999999
1951-07-01,14.883160000000000
1951-08-01,14.797599999999999
1951-09-01,14.602410000000001
1951-10-01,14.825630000000000
1951-11-01,15.040450000000000
1951-12-01,14.976459999999999
1952-01-01,15.943849999999999
1952-02-01,16.144400000000001
1952-03-01,15.141640000000001
1952-04-01,15.241920000000000
1952-05-01,15.643020000000002
1952-06-01,14.840809999999999
1952-07-01,15.542740000000000
1952-08-01,16.044119999999999
1952-09-01,16.144400000000001
1952-10-01,16.445220000000003
1952-11-01,16.144400000000001
1952-12-01,16.044119999999999
1953-01-01,16.445220000000003
1953-02-01,16.244670000000003
1953-03-01,16.746050000000000
1953-04-01,17.046879999999998
1953-05-01,15.943849999999999
1953-06-01,17.849079999999997
1953-07-01,17.548259999999999
1953-08-01,17.748809999999999
1953-09-01,17.849079999999997
1953-10-01,18.049640000000000
1953-11-01,18.149909999999998
1953-12-01,18.350460000000002
1954-01-01,17.447979999999998
1954-02-01,18.149909999999998
1954-03-01,18.851839999999999
1954-04-01,18.651289999999999
1954-05-01,18.851839999999999
1954-06-01,19.052389999999999
1954-07-01,19.553770000000000
1954-08-01,19.553770000000000
1954-09-01,19.954879999999999
1954-10-01,19.453499999999998
1954-11-01,20.656810000000000
1954-12-01,21.459009999999999
1955-01-01,20.556529999999999
1955-02-01,21.258459999999999
1955-03-01,21.960390000000000
1955-04-01,21.459009999999999
1955-05-01,21.960390000000000
1955-06-01,22.261220000000002
1955-07-01,22.060669999999998
1955-08-01,23.163699999999999
1955-09-01,23.063430000000000
1955-10-01,22.160940000000000
1955-11-01,23.364249999999998
1955-12-01,24.166460000000001
1956-01-01,23.965910000000001
1956-02-01,23.765350000000002
1956-03-01,23.163699999999999
1956-04-01,24.066179999999999
1956-05-01,23.665080000000000
1956-06-01,25.269490000000001
1956-07-01,23.965910000000001
1956-08-01,24.667840000000002
1956-09-01,23.665080000000000
1956-10-01,24.166460000000001
1956-11-01,24.667840000000002
1956-12-01,23.163699999999999
1957-01-01,25.470040000000001
1957-02-01,25.570319999999999
1957-03-01,24.667840000000002
1957-04-01,25.570319999999999
1957-05-01,26.573079999999997
1957-06-01,23.564800000000002
1957-07-01,25.470040000000001
1957-08-01,25.871150000000000
1957-09-01,24.667840000000002
1957-10-01,25.770869999999999
1957-11-01,25.770869999999999
1957-12-01,24.768110000000000
1958-01-01,26.573079999999997
1958-02-01,25.971419999999998
1958-03-01,25.570319999999999
1958-04-01,26.171970000000002
1958-05-01,25.470040000000001
1958-06-01,25.269490000000001
1958-07-01,26.673349999999999
1958-08-01,25.971419999999998
1958-09-01,26.272250000000000
1958-10-01,26.773629999999997
1958-11-01,25.570319999999999
1958-12-01,26.472799999999999
1959-01-01,26.171970000000002
1959-02-01,26.472799999999999
1959-03-01,25.470040000000001
1959-04-01,29.180250000000001
1959-05-01,25.871150000000000
1959-06-01,28.779140000000002
1959-07-01,28.678870000000000
1959-08-01,28.177489999999999
1959-09-01,29.079969999999999
1959-10-01,29.380800000000001
1959-11-01,29.180250000000001
1959-12-01,30.684379999999997
1960-01-01,28.779140000000002
1960-02-01,31.185759999999998
1960-03-01,31.787410000000001
1960-04-01,30.082730000000002
1960-05-01,32.088239999999999
1960-06-01,30.584109999999999
1960-07-01,31.085490000000004
1960-08-01,32.088239999999999
1960-09-01,32.088239999999999
1960-10-01,30.784659999999999
1960-11-01,32.689900000000002
1960-12-01,34.093759999999996
1961-01-01,33.191279999999999
1961-02-01,33.391829999999999
1961-03-01,34.595129999999997
1961-04-01,32.389070000000004
1961-05-01,33.091000000000001
1961-06-01,34.093759999999996
1961-07-01,32.790170000000003
1961-08-01,33.893209999999996
1961-09-01,32.890450000000001
1961-10-01,32.790170000000003
1961-11-01,33.692650000000000
1961-12-01,32.790170000000003
1962-01-01,34.294309999999996
1962-02-01,33.893209999999996
1962-03-01,34.194029999999998
1962-04-01,33.492100000000001
1962-05-01,34.494859999999996
1962-06-01,34.294309999999996
1962-07-01,34.494859999999996
1962-08-01,35.999000000000002
1962-09-01,35.297069999999998
1962-10-01,34.695409999999995
1962-11-01,35.297069999999998
1962-12-01,34.093759999999996
1963-01-01,34.394579999999998
1963-02-01,33.893209999999996
1963-03-01,35.096519999999998
1963-04-01,35.497619999999998
1963-05-01,35.497619999999998
1963-06-01,35.196790000000000
1963-07-01,35.898720000000004
1963-08-01,37.001750000000001
1963-09-01,36.199550000000002
1963-10-01,36.700930000000000
1963-11-01,37.001750000000001
1963-12-01,35.597890000000000
1964-01-01,37.603409999999997
1964-02-01,38.004510000000003
1964-03-01,37.703690000000002
1964-04-01,38.104790000000001
1964-05-01,37.603409999999997
1964-06-01,38.405619999999999
1964-07-01,39.207819999999998
1964-08-01,38.806719999999999
1964-09-01,39.007269999999998
1964-10-01,39.508650000000003
1964-11-01,39.408369999999998
1964-12-01,39.809470000000005
1965-01-01,40.611680000000000
1965-02-01,40.210580000000000
1965-03-01,40.411130000000000
1965-04-01,40.511409999999998
1965-05-01,40.411130000000000
1965-06-01,40.010030000000000
1965-07-01,40.210580000000000
1965-08-01,40.812230000000000
1965-09-01,41.213340000000002
1965-10-01,40.912509999999997
1965-11-01,40.511409999999998
1965-12-01,41.714709999999997
1966-01-01,41.113059999999997
1966-02-01,41.113059999999997
1966-03-01,42.316369999999999
1966-04-01,41.514159999999997
1966-05-01,41.213340000000002
1966-06-01,41.814990000000002
1966-07-01,41.413890000000002
1966-08-01,40.812230000000000
1966-09-01,41.113059999999997
1966-10-01,40.511409999999998
1966-11-01,39.709200000000003
1966-12-01,39.308100000000003
1967-01-01,39.207819999999998
1967-02-01,38.806719999999999
1967-03-01,38.806719999999999
1967-04-01,38.706440000000001
1967-05-01,38.104790000000001
1967-06-01,39.007269999999998
1967-07-01,40.010030000000000
1967-08-01,39.308100000000003
1967-09-01,40.411130000000000
1967-10-01,40.711959999999998
1967-11-01,40.912509999999997
1967-12-01,42.717469999999999
1968-01-01,39.809470000000005
1968-02-01,40.611680000000000
1968-03-01,41.413890000000002
1968-04-01,41.714709999999997
1968-05-01,42.717469999999999
1968-06-01,43.319130000000001
1968-07-01,42.717469999999999
1968-08-01,45.625470000000000
1968-09-01,45.023820000000001
1968-10-01,45.224370000000000
1968-11-01,46.427680000000002
1968-12-01,46.527949999999997
1969-01-01,46.828780000000002
1969-02-01,47.029330000000002
1969-03-01,47.530709999999999
1969-04-01,47.931809999999999
1969-05-01,48.433190000000003
1969-06-01,48.934570000000001
1969-07-01,48.934570000000001
1969-08-01,50.338429999999995
1969-09-01,49.837049999999998
1969-10-01,50.639260000000000
1969-11-01,51.040360000000000
1969-12-01,50.839810000000000
1970-01-01,50.639260000000000
1970-02-01,51.441459999999999
1970-03-01,51.842570000000002
1970-04-01,52.444219999999994
1970-05-01,52.644769999999994
1970-06-01,52.143389999999997
1970-07-01,52.945599999999999
1970-08-01,52.043120000000002
1970-09-01,51.842570000000002
1970-10-01,52.043120000000002
1970-11-01,51.541739999999997
1970-12-01,52.745049999999999
1971-01-01,53.045879999999997
1971-02-01,52.644769999999994
1971-03-01,52.544499999999999
1971-04-01,52.845329999999997
1971-05-01,52.143389999999997
1971-06-01,52.745049999999999
1971-07-01,53.547259999999994
1971-08-01,51.441459999999999
1971-09-01,52.444219999999994
1971-10-01,52.544499999999999
1971-11-01,51.642020000000002
1971-12-01,51.240910000000000
1972-01-01,52.644769999999994
1972-02-01,52.845329999999997
1972-03-01,53.747810000000001
1972-04-01,53.747810000000001
1972-05-01,53.547259999999994
1972-06-01,53.848080000000003
1972-07-01,54.148910000000001
1972-08-01,53.848080000000003
1972-09-01,53.647530000000003
1972-10-01,54.550010000000000
1972-11-01,55.352220000000003
1972-12-01,55.051390000000005
1973-01-01,56.555530000000005
1973-02-01,57.157179999999997
1973-03-01,57.458009999999994
1973-04-01,56.856349999999999
1973-05-01,57.558280000000003
1973-06-01,57.157179999999997
1973-07-01,55.251940000000005
1973-08-01,58.260219999999997
1973-09-01,57.658559999999994
1973-10-01,57.458009999999994
1973-11-01,57.558280000000003
1973-12-01,57.056909999999995
1974-01-01,57.458009999999994
1974-02-01,57.357729999999997
1974-03-01,56.655799999999999
1974-04-01,57.056909999999995
1974-05-01,57.658559999999994
1974-06-01,56.655799999999999
1974-07-01,56.756079999999997
1974-08-01,55.151670000000003
1974-09-01,55.051390000000005
1974-10-01,54.951110000000000
1974-11-01,54.449740000000006
1974-12-01,52.043120000000002
1975-01-01,52.243670000000002
1975-02-01,52.143389999999997
1975-03-01,51.942839999999997
1975-04-01,51.742289999999997
1975-05-01,51.541739999999997
1975-06-01,51.441459999999999
1975-07-01,50.438710000000000
1975-08-01,52.143389999999997
1975-09-01,52.243670000000002
1975-10-01,52.945599999999999
1975-11-01,53.446980000000003
1975-12-01,53.747810000000001
1976-01-01,54.349460000000001
1976-02-01,55.051390000000005
1976-03-01,55.051390000000005
1976-04-01,55.653050000000000
1976-05-01,56.154430000000005
1976-06-01,56.856349999999999
1976-07-01,54.449740000000006
1976-08-01,55.953869999999995
1976-09-01,56.956629999999997
1976-10-01,56.856349999999999
1976-11-01,56.956629999999997
1976-12-01,57.357729999999997
1977-01-01,57.458009999999994
1977-02-01,57.458009999999994
1977-03-01,57.959389999999999
1977-04-01,56.956629999999997
1977-05-01,56.756079999999997
1977-06-01,57.758839999999999
1977-07-01,55.352220000000003
1977-08-01,57.658559999999994
1977-09-01,57.658559999999994
1977-10-01,57.157179999999997
1977-11-01,57.558280000000003
1977-12-01,57.859110000000001
1978-01-01,59.062420000000003
1978-02-01,57.357729999999997
1978-03-01,55.753319999999995
1978-04-01,56.856349999999999
1978-05-01,56.956629999999997
1978-06-01,56.354980000000005
1978-07-01,58.260219999999997
1978-08-01,58.661320000000003
1978-09-01,59.363250000000001
1978-10-01,58.360490000000006
1978-11-01,58.962150000000001
1978-12-01,59.964900000000000
1979-01-01,59.062420000000003
1979-02-01,59.363250000000001
1979-03-01,58.962150000000001
1979-04-01,60.867390000000000
1979-05-01,60.366000000000007
1979-06-01,61.669589999999999
1979-07-01,62.070689999999999
1979-08-01,61.067940000000000
1979-09-01,60.967659999999995
1979-10-01,60.366000000000007
1979-11-01,61.970419999999997
1979-12-01,63.574830000000006
1980-01-01,62.973180000000006
1980-02-01,62.672350000000002
1980-03-01,62.070689999999999
1980-04-01,61.469040000000000
1980-05-01,61.368759999999995
1980-06-01,60.666829999999997
1980-07-01,61.067940000000000
1980-08-01,61.368759999999995
1980-09-01,58.861870000000003
1980-10-01,59.062420000000003
1980-11-01,60.366000000000007
1980-12-01,59.964900000000000
1981-01-01,59.463519999999995
1981-02-01,60.666829999999997
1981-03-01,60.165450000000000
1981-04-01,59.764350000000000
1981-05-01,60.165450000000000
1981-06-01,59.062420000000003
1981-07-01,59.563800000000001
1981-08-01,59.864630000000005
1981-09-01,59.764350000000000
1981-10-01,60.065180000000005
1981-11-01,59.864630000000005
1981-12-01,59.664080000000006
1982-01-01,59.664080000000006
1982-02-01,59.463519999999995
1982-03-01,59.463519999999995
1982-04-01,59.664080000000006
1982-05-01,59.864630000000005
1982-06-01,58.059669999999997
1982-07-01,55.953869999999995
1982-08-01,56.956629999999997
1982-09-01,56.956629999999997
1982-10-01,56.254700000000000
1982-11-01,55.853600000000000
1982-12-01,56.455249999999999
1983-01-01,56.956629999999997
1983-02-01,56.354980000000005
1983-03-01,57.157179999999997
1983-04-01,57.959389999999999
1983-05-01,57.758839999999999
1983-06-01,59.463519999999995
1983-07-01,56.956629999999997
1983-08-01,57.357729999999997
1983-09-01,58.761590000000005
1983-10-01,58.360490000000006
1983-11-01,59.262970000000003
1983-12-01,59.563800000000001
1984-01-01,59.764350000000000
1984-02-01,59.964900000000000
1984-03-01,58.962150000000001
1984-04-01,59.062420000000003
1984-05-01,59.262970000000003
1984-06-01,53.246429999999997
1984-07-01,60.366000000000007
1984-08-01,59.563800000000001
1984-09-01,60.967659999999995
1984-10-01,60.767109999999995
1984-11-01,61.569319999999998
1984-12-01,62.070689999999999
1985-01-01,61.168209999999995
1985-02-01,61.870139999999999
1985-03-01,62.170969999999997
1985-04-01,61.569319999999998
1985-05-01,62.471800000000002
1985-06-01,62.973180000000006
1985-07-01,63.675109999999997
1985-08-01,62.070689999999999
1985-09-01,62.872900000000001
1985-10-01,63.474559999999997
1985-11-01,64.677859999999995
1985-12-01,62.572069999999997
1986-01-01,63.273999999999994
1986-02-01,63.875660000000003
1986-03-01,64.076210000000003
1986-04-01,64.276759999999996
1986-05-01,64.377040000000008
1986-06-01,63.975930000000005
1986-07-01,64.878419999999991
1986-08-01,63.975930000000005
1986-09-01,63.474559999999997
