STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-04,104.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-05,103.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-06,103.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-07,103.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-08,103.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-09,102.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-10,102.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-11,101.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-12,101.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-01,101.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-02,101.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-03,101.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-04,101.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-05,100.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-06,100.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-07,100.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-08,100.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-09,100.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-10,100.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-11,100.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-12,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-01,99.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-02,99.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-03,99.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-04,99.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-05,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-06,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-07,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-08,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-09,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-10,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-11,99.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2006-12,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-01,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-02,100.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-03,100.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-04,100.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-05,100.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-06,100.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-07,101.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-08,101.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-09,101.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-10,101.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-11,101.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2007-12,101.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-01,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-02,102.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-03,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-04,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-05,102.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-06,102.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-07,102.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-08,102.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-09,102.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-10,102.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-11,102.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2008-12,102.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-01,102.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-02,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-03,101.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-04,101.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-05,100.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-06,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-07,99.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-08,98.9,i,
