observation_date,DEUPRMNIG01IXOBSAM
1962-01-01,33.4427860326894
1962-02-01,33.4427860326894
1962-03-01,33.4427860326894
1962-04-01,32.7228826151560
1962-05-01,33.9663521545319
1962-06-01,34.0972436849926
1962-07-01,34.2281352154532
1962-08-01,34.8171471025260
1962-09-01,34.6208098068351
1962-10-01,34.2935809806835
1962-11-01,34.4899182763744
1962-12-01,33.5082317979198
1963-01-01,32.5265453194651
1963-02-01,31.8066419019316
1963-03-01,34.4244725111441
1963-04-01,34.6208098068351
1963-05-01,35.4716047548291
1963-06-01,35.0789301634472
1963-07-01,35.3407132243685
1963-08-01,36.5841827637444
1963-09-01,36.1260624071322
1963-10-01,36.7805200594354
1963-11-01,37.4349777117385
1963-12-01,36.1915081723626
1964-01-01,37.9585438335810
1964-02-01,39.1365676077266
1964-03-01,38.3512184249628
1964-04-01,39.0056760772660
1964-05-01,38.6784472511144
1964-06-01,39.3983506686478
1964-07-01,40.3145913818722
1964-08-01,39.6601337295691
1964-09-01,40.7072659732541
1964-10-01,41.0344947994056
1964-11-01,41.0999405646360
1964-12-01,41.8198439821694
1965-01-01,43.2596508172362
1965-02-01,41.2308320950966
1965-03-01,41.3617236255572
1965-04-01,41.4926151560178
1965-05-01,41.7543982169391
1965-06-01,41.0344947994056
1965-07-01,41.8852897473997
1965-08-01,41.8198439821694
1965-09-01,42.2125185735513
1965-10-01,42.1470728083209
1965-11-01,41.1653863298663
1965-12-01,42.2779643387816
1966-01-01,42.3434101040119
1966-02-01,42.6051931649331
1966-03-01,44.3722288261516
1966-04-01,42.9978677563150
1966-05-01,43.1942050520059
1966-06-01,43.4559881129272
1966-07-01,43.3905423476969
1966-08-01,42.4743016344725
1966-09-01,43.1942050520059
1966-10-01,42.6051931649331
1966-11-01,42.0161812778603
1966-12-01,42.6706389301634
1967-01-01,42.4088558692422
1967-02-01,42.3434101040119
1967-03-01,42.7360846953938
1967-04-01,43.0633135215453
1967-05-01,42.6051931649331
1967-06-01,43.2596508172362
1967-07-01,43.9141084695394
1967-08-01,42.7360846953938
1967-09-01,43.9795542347697
1967-10-01,44.7649034175334
1967-11-01,45.7465898959881
1967-12-01,45.9429271916790
1968-01-01,45.3539153046062
1968-02-01,47.3172882615156
1968-03-01,47.4481797919762
1968-04-01,47.5136255572065
1968-05-01,48.6262035661218
1968-06-01,49.0843239227340
1968-07-01,48.8879866270431
1968-08-01,51.1131426448737
1968-09-01,50.6550222882615
1968-10-01,50.6550222882615
1968-11-01,52.6183952451709
1968-12-01,52.0948291233284
1969-01-01,53.2728528974740
1969-02-01,51.7021545319465
1969-03-01,53.2728528974740
1969-04-01,53.3382986627043
1969-05-01,54.5163224368499
1969-06-01,55.4980089153046
1969-07-01,54.8435512630015
1969-08-01,56.3488038632986
1969-09-01,56.2833580980683
1969-10-01,57.0687072808321
1969-11-01,58.1812852897474
1969-12-01,57.4613818722140
1970-01-01,57.9195022288261
1970-02-01,57.3959361069836
1970-03-01,56.8723699851412
1970-04-01,57.5268276374443
1970-05-01,59.3593090638930
1970-06-01,57.6577191679049
1970-07-01,58.7048514115899
1970-08-01,58.8357429420505
1970-09-01,57.2650445765230
1970-10-01,57.4613818722140
1970-11-01,56.4142496285290
1970-12-01,58.1158395245171
1971-01-01,57.9195022288261
