date,value
1995-01-31,83.8772280261361
1995-02-28,84.1454920816568
1995-03-31,84.5031774890177
1995-04-30,84.7714415445384
1995-05-31,84.7714415445384
1995-06-30,84.8608628963786
1995-07-31,84.7714415445384
1995-08-31,85.0397056000591
1995-09-30,84.8608628963786
1995-10-31,84.5925988408579
1995-11-30,84.1454920816568
1995-12-31,83.9666493779763
1996-01-31,83.7878066742958
1996-02-29,83.5195426187752
1996-03-31,83.2512785632544
1996-04-30,83.2512785632544
1996-05-31,83.072435859574
1996-06-30,82.7147504522131
1996-07-31,82.5359077485326
1996-08-31,82.4464863966924
1996-09-30,82.2676436930119
1996-10-31,82.2676436930119
1996-11-30,82.2676436930119
1996-12-31,82.2676436930119
1997-01-31,82.3570650448522
1997-02-28,82.5359077485326
1997-03-31,82.3570650448522
1997-04-30,82.6253291003729
1997-05-31,82.8041718040533
1997-06-30,82.9830145077338
1997-07-31,83.072435859574
1997-08-31,83.2512785632544
1997-09-30,83.2512785632544
1997-10-31,83.1618572114142
1997-11-30,82.9830145077338
1997-12-31,83.072435859574
1998-01-31,83.3406999150947
1998-02-28,83.4301212669349
1998-03-31,83.4301212669349
1998-04-30,83.3406999150947
1998-05-31,83.1618572114142
1998-06-30,83.072435859574
1998-07-31,82.9830145077338
1998-08-31,82.6253291003729
1998-09-30,82.4464863966924
1998-10-31,82.0888009893314
1998-11-30,81.909958285651
1998-12-31,81.4628515264499
1999-01-31,81.1051661190889
1999-02-28,81.1051661190889
1999-03-31,80.9263234154085
1999-04-30,81.0157447672487
1999-05-31,81.1051661190889
1999-06-30,81.0157447672487
1999-07-31,81.2840088227694
1999-08-31,81.3734301746096
1999-09-30,81.6416942301303
1999-10-31,81.9993796374912
1999-11-30,82.1782223411717
1999-12-31,82.3570650448522
2000-01-31,82.6253291003729
2000-02-29,82.8935931558936
2000-03-31,83.2512785632544
2000-04-30,83.8772280261361
2000-05-31,84.234913433497
2000-06-30,84.3243347853372
2000-07-31,84.6820201926981
2000-08-31,84.8608628963786
2000-09-30,85.2185483037395
2000-10-31,85.39739100742
2000-11-30,85.39739100742
2000-12-31,85.4868123592602
2001-01-31,85.4868123592602
2001-02-28,85.4868123592602
2001-03-31,85.4868123592602
2001-04-30,85.4868123592602
2001-05-31,85.39739100742
2001-06-30,85.3079696555798
2001-07-31,84.8608628963786
2001-08-31,84.7714415445384
2001-09-30,84.6820201926981
2001-10-31,84.5031774890177
2001-11-30,84.3243347853372
2001-12-31,84.1454920816568
2002-01-31,84.0560707298166
2002-02-28,83.7878066742958
2002-03-31,84.0560707298166
2002-04-30,84.234913433497
2002-05-31,84.234913433497
2002-06-30,84.5031774890177
2002-07-31,84.5925988408579
2002-08-31,84.5925988408579
2002-09-30,84.6820201926981
2002-10-31,84.6820201926981
2002-11-30,84.5031774890177
2002-12-31,84.5925988408579
2003-01-31,84.7714415445384
2003-02-28,84.9502842482188
2003-03-31,85.1291269518993
2003-04-30,85.1291269518993
2003-05-31,85.0397056000591
2003-06-30,84.7714415445384
2003-07-31,84.5031774890177
2003-08-31,84.234913433497
2003-09-30,84.4137561371774
2003-10-31,84.3243347853372
2003-11-30,84.4137561371774
2003-12-31,84.5031774890177
2004-01-31,84.5925988408579
2004-02-29,85.0397056000591
2004-03-31,85.5762337111004
2004-04-30,86.3810258776625
2004-05-31,86.7387112850234
2004-06-30,86.6492899331832
2004-07-31,87.2752393960648
2004-08-31,87.6329248034258
2004-09-30,87.9906102107867
2004-10-31,88.7059810255085
2004-11-30,88.7954023773487
2004-12-31,88.7954023773487
2005-01-31,89.2425091365499
2005-02-28,89.689615895751
2005-03-31,89.689615895751
2005-04-30,89.6001945439108
2005-05-31,89.3319304883901
2005-06-30,89.3319304883901
2005-07-31,88.9742450810292
2005-08-31,88.9742450810292
2005-09-30,89.0636664328694
2005-10-31,89.6001945439108
2005-11-30,89.7790372475913
2005-12-31,89.8684585994315
2006-01-31,90.1367226549522
2006-02-28,90.5838294141534
2006-03-31,90.7626721178338
2006-04-30,91.7463069880764
2006-05-31,92.7299418583189
2006-06-30,92.6405205064786
2006-07-31,93.6241553767212
2006-08-31,93.8029980804016
2006-09-30,93.9818407840821
2006-10-31,94.7866329506442
2006-11-30,94.8760543024844
2006-12-31,94.9654756543246
2007-01-31,95.1443183580051
2007-02-28,95.4125824135258
2007-03-31,95.7702678208867
2007-04-30,96.4856386356086
2007-05-31,96.8433240429695
2007-06-30,96.7539026911292
2007-07-31,96.7539026911292
2007-08-31,96.8433240429695
2007-09-30,96.5750599874488
2007-10-31,96.9327453948097
2007-11-30,96.664481339289
2007-12-31,96.3962172837684
2008-01-31,96.8433240429695
2008-02-29,97.4692735058511
2008-03-31,97.9163802650522
2008-04-30,98.6317510797741
2008-05-31,98.989436487135
2008-06-30,99.3471218944959
2008-07-31,100.330756764738
2008-08-31,100.420178116579
2008-09-30,100.420178116579
2008-10-31,99.7048073018568
2008-11-30,98.3634870242534
2008-12-31,97.3798521540109
2009-01-31,96.3067959319281
2009-02-28,95.2337397098453
2009-03-31,94.339526191443
2009-04-30,93.8924194322419
2009-05-31,93.3558913212005
2009-06-30,93.2664699693603
2009-07-31,92.9982059138396
2009-08-31,93.4453126730407
2009-09-30,93.7135767285614
2009-10-31,93.8029980804016
2009-11-30,93.7135767285614
2009-12-31,93.8029980804016
2010-01-31,94.0712621359224
2010-02-28,94.4603883495146
2010-03-31,95.0440776699029
2010-04-30,96.2114563106796
2010-05-31,97.2815533980582
2010-06-30,97.4761165048544
2010-07-31,97.7679611650486
2010-08-31,98.2543689320388
2010-09-30,98.8380582524272
2010-10-31,99.0326213592233
2010-11-30,99.1299029126214
2010-12-31,99.7135922330097
2011-01-31,100.783689320388
2011-02-28,101.951067961165
2011-03-31,102.145631067961
2011-04-30,102.72932038835
2011-05-31,102.826601941748
2011-06-30,103.021165048544
2011-07-31,103.118446601942
2011-08-31,102.923883495146
2011-09-30,103.021165048544
2011-10-31,102.340194174757
2011-11-30,101.951067961165
2011-12-31,101.659223300971
2012-01-31,101.853786407767
2012-02-29,102.340194174757
2012-03-31,102.72932038835
2012-04-30,103.118446601942
2012-05-31,103.118446601942
